word,interpretation
паморока,"Туман, імла"
мертвіти,"Ставати тьмяним, блідим; згасати (про світло, освітлений предмет)"
тьмянішати,"Ставати, робитися тьмяним, тьмянішим"
кровопролиття,"Масове знищення людей; масові вбивства, різня"
підколоти,"Колючи чим-небудь, убити або ранити кого-небудь"
підрізати,Ранити або вбити яким-небудь ріжучим предметом
впросити,"Настійно просити кого-небудь про щось; дуже просячи, домогтися чиєї-небудь згоди на щось"
упросити,"Настійно просити кого-небудь про щось; дуже просячи, домогтися чиєї-небудь згоди на щось"
вмолити,"Молячи, благаючи кого-небудь, схилити на свій бік, домогтися позитивного вирішення чого-небудь"
упрохати,"Те саме, що [B]упро́сити[/B]"
впрохати,"Те саме, що [B]упро́сити[/B]"
перепродувати,Продавати куплене раніше з метою одержання прибутку
перепродавати,Продавати куплене раніше з метою одержання прибутку
розколина,"Велика, глибока щілина, тріщина в чому-небудь"
невидний,"Дуже темний, непроглядний"
темнішати,Ставати темнішим
імла,"те саме, що мла"
концепція,"Система доказів певного положення, сукупність поглядів на те чи інше явище"
збігати,Утікати звідки-небудь
бігти,"Прискорено рухатись, швидко переставляючи ноги"
холодок,"Затінене місце; затінок, тінь"
тканина,"Виріб, виготовлений в процесі ткання на ткацькому верстаті"
таран,"Довбня, якою товчуть піджарене насіння в ступі олійні, видавлюючи олію; товкач"
кабанкуватий,"Зовнішністю схожий на кабана; грубий, товстий"
ситий,"Добре вгодований (про людей, тварин та частини їх тіла); гладкий"
ситний,"Те саме, що [B]си́тий[/B] 2"
товстюх,
опецьок,"Товста, незграбна дитина"
товстун,"Товстий, повний чоловік, хлопець"
тандитникувати,Торгувати старими носильними речами
вигорати,Закінчуватися позитивним результатом
витанцьовуватися,"Успішно завершуватися, вдаватися"
врепіжити,"З силою ударити, хльоснути"
тужавіти,"Висихаючи, робитися твердим, щільним, тугим; тверднути"
мчати,"Швидко, бурхливо текти"
мчатися,"Те саме, що [B]мча́ти[/B] 1"
стрийна,"Тітка, сестра батька або дружина батькового брата"
вилучитися,Траплятися
потрапитися,"Те саме, що [B]трапля́тися[/B]"
витоплювати,"Добувати, виділяти метал, розжарюючи руду"
розтоплювати,"Нагріваючи, перетворювати тверду речовину в рідку"
розпускати,"Перетворювати що-небудь на рідину; розплавляти, розтоплювати"
прокурювати,Протоплювати (звичайно чимось курним)
надтерміновий,"Дуже терміновий, негайний; невідкладний"
угноювати,"Вносити в ґрунт гній для підвищення врожайності сільськогосподарських культур, кращого росту, цвітіння рослин"
вгноювати,"Вносити в ґрунт гній для підвищення врожайності сільськогосподарських культур, кращого росту, цвітіння рослин"
задавити,"Заподіювати смерть, стискуючи горло; душити"
придушити,"Те саме, що [B]прида́влювати[/B] 2"
ляпанець,Легкий удар рукою з метою покарання
бахнути,Однокр. до [B]ба́хкати[/B] і [B]ба́хати[/B]- Створювати гучні короткі звуки
бабахнути,Однокр. до [B]баба́хати[/B] 2- Утворювати сильні низькі уривчасті звуки
гахнути,Однокр. до [B]га́хкати[/B]- Створювати гучні короткі звуки
грюконути,"Підсил. до [B]грю́кнути[/B]-  Створювати сильний грюк, шум при ударах, поштовхах, коливаннях і т. ін. "
цюкнути,"Однокр. до [B]цю́кати[/B]- Ударяючись об що-небудь, видавати стук"
придурюватися,"Удавати з себе наївну, дурну, нетямущу людину"
прийняти,"взяти до рук, на плечі і т. ін. від когось або звідкись кого-, що-небудь"
приймити,"взяти до рук, на плечі і т. ін. від когось або звідкись кого-, що-небудь"
малороси,Офіційна назва українців у дореволюційній Росії
підцапити,"Те саме, що [B]укра́сти[/B]"
облипати,"Насівши великою масою, покривати собою поверхню чого-небудь (про комах, птахів); обсідати"
всипати,"те саме, що усипати"
стукнутися,Однокр. до [B]сту́катися[/B] - Ударятися об що-небудь
узяти,Ухопити рукою (руками) або яким-небудь знаряддям
затягатися,"Покриватися, встелятися чим-небудь"
обливатися,"Дуже рясно покриватися чим-небудь (цвітом, плодами і т. ін.)"
гахнути,"Однокр. до [B]га́хкати[/B] - з силою стукати, ударяти"
жахнути,Сильно вдарити
гепнути,". Бити, стукати по чому-небудь, у щось - Однокр. до [B]ге́пати[/B]"
хрьопнути,"Однокр. до [B]хрьо́пати[/B] - З силою ударяти, бити по чому-небудь "
хряпнути,"Однокр. до [B]хря́пати[/B] - З силою ударяти, бити по чому-небудь "
шварнути,З силою кинути
шваркнути,"Із силою кинути, шпурнути, ударити і т. ін"
шварконути,"Підсил. до [B]шва́ркнути[/B] - Із силою кинути, шпурнути, ударити "
шкварнути,Сильно вдарити
луснути,"Сильно вдарити кого-, що-небудь об щось"
дзизнути,Сильно ударити
свиснути,"Сильно, з розмаху ударити"
цюкнути,"Ударяти, стукати чим-небудь по чомусь"
ляснути,"Однокр. до [B]ля́скати[/B]- Ударяти, бити долонею, чим-небудь м'яким або по м'якому"
осипатися,"Те саме, що [B]обсипа́тися[/B] 1–3"
припасти,Покритися чим-небудь з поверхні
опушитися,"Покритися (снігом, інеєм)"
кусонути,Підсил. до [B]кусну́ти[/B]
підсунути,"Обдурити кого-небудь, дати йому щось недоброякісне, непотрібне"
ужалити,"Укусити, впившися жалом у тіло (про бджолу, комара, змію і т. ін.)"
приділяти,"Влаштовувати, призначати на яку-небудь роботу, посаду і т. ін"
підсувати,"Обдурюючи кого-небудь, давати йому щось недоброякісне, непотрібне"
підсовувати,"Обдурюючи кого-небудь, давати йому щось недоброякісне, непотрібне"
стуснути,"Однокр. до [B]сту""сати[/B]- Бити, штовхати кого-небудь"
задушити,"Заподіяти кому-небудь смерть, здавивши горло, насильно припинивши дихання; умертвити"
удушити,"Заподіяти кому-небудь смерть, здавивши горло, насильно припинивши дихання; задушити"
удавити,"Умертвити, стискаючи горло; задушити"
умертвити,"Позбавляти життя, убивати"
русини,"Стара назва українського населення Буковини, Галичини та Закарпатської України"
русичі,"Те саме, що [B]руси́ни[/B]"
руснаки,Русини
дрантина,Ганчірка
обмовник,"Той, хто обмовляє кого-небудь; наклепник"
інсинуатор,"Той, хто поширює злісні вигадки, наклепи; наклепник"
пасквілянт,"Особа, яка поширює наклепницькі, ганебні вигадки про когось, щось"
ханька,плід гарбуза
пасти,"Док. до [B]па́дати[/B] Переставати існувати, гинути (про тварин); дохнути"
вимерти,"загинути до останнього в якомусь місці, місцевості або в родині, в роді внаслідок епідемії, голоду і т. ін"
пропасти,"загинути (звичайно передчасно) від нещасного випадку, внаслідок убивства, вмирати від хвороби, катувань і т. ін. (про людей та інші живі істоти)"
дохнути,"Переставати існувати, гинути (про тварин, птахів, комах)"
падати,"Переставати існувати, гинути (про тварин); дохнути"
згасати,
погасати,
гаснути,
догасати,
згаснути,"Втративши сили, вмерти"
догаснути,"ослабнувши, втратити сили; зачахнути"
догоріти,"Поступово втративши сили, заслабнути; вмерти"
згоріти,"Втративши сили, здоров'я, передчасно померти (через нестатки, хворобу, важку працю і т. ін.)"
улестити,"Лестощами, обіцянками, умовлянням схилити до чого-небудь, примусити згодитися на щось"
влестити,"Лестощами, обіцянками, умовлянням схилити до чого-небудь, примусити згодитися на щось"
умовити,"Переконати кого-небудь, схилити до чогось"
зманити,"Спокушаючи чим-небудь, умовляти когось іти, їхати куди-небудь, змінивши місце проживання, роботу і т. ін"
вгрущати,Взагалі умовляти
уговтати,"Умовити, переконавши, схиливши до чогось"
уговкати,"Умовити, переконавши в чомусь, схиливши до чогось"
вговкати,"Умовити, переконавши в чомусь, схилившись до чогось"
впертися,"Наполягти на чомусь, настояти на своєму"
упертися,"Наполягти на чомусь, настояти на своєму"
впасти,"Звалитися, перекинутися на землю, втративши рівновагу, опору"
влюбити,Уподобати
сподобати,"Покохати, полюбити, виявити схильність до кого-небудь"
запряг,Запряжені коні або інші тварини
святковий,"Який буває, який влаштовують під час свят"
оскалятися,"Сміятися, усміхатися"
тріумф,"Видатний, блискучий успіх, перемога"
вдатний,Який закінчився удачею
помпезний,"Який відзначається урочистістю, пишнотою, розрахованою на зовнішній ефект"
мавзолей,Велика надмогильна архітектурна споруда
гробниця,"Спеціальна споруда, де ховають тіло померлого; склеп"
усмішкуватий,З усмішкою
усмішливий,З усмішкою
підсміятися,"Усміхнутися, посміхнутися (час від часу)"
благополучний," який щасливо, успішно відбувається чи закінчується; щасливий, успішний, добрий"
щасний,"Те саме, що [B]щасли́вий[/B] - Успішний, благополучний"
приживатися,Ставати звичним
закоренілий,"Який міцно встановився, усталився; "
усталений,"Сталий, стійкий, який закріпився у певній формі"
укоренитися,"Міцно встановитися, запровадитися, узвичаїтися"
вкоренитися,"Міцно встановитися, запровадитися, узвичаїтися"
закореніти,"Міцно встановитися, усталитися; "
прижитися,Стати звичним
прибирати,Відсилати кого-небудь з певною метою
виганяти,"Виключати звідкись, виводити із складу чогось"
звільнити,"Знімати з роботи, виключати з навчального закладу і т. ін"
зняти,"Звільняти, усувати (з посади)"
утека,Утеча
втека,Утеча
утік,Утеча
присуд,Рішення якого-небудь органу
вихованець,"Людина, яка вчиться або яка одержала освіту в якому-небудь навчальному закладі"
підковувати,"Додатково навчати кого-небудь або давати кому-небудь певні знання, відомості, а також спеціальну підготовку"
школити,"Суворо вчити, виховувати кого-небудь; муштрувати"
розбивати,"Ушкоджувати, ранити, дуже забивати яку-небудь частину тіла"
збивати,"Ударяючи або тручи об що-небудь, ушкоджувати, зранювати (руки, ноги, шкіру на тілі і т. ін.)"
розбити,"Ушкодити, поранити, дуже забити яку-небудь частину тіла"
збити,"Ударяючи або тручи об що-небудь, ушкодити, зранити (руки, ноги, шкіру на тілі і т. ін.)"
домалювати,"Уявити, домислити що-небудь"
домислити,"Придумати що-небудь додатково до того, що вже є"
примислити,Додати в думках що-небудь до чогось
уявити,"Викликати у своїх думках, своїй свідомості який-небудь образ, картину, дію і т. ін"
маритися,"Уявлятися, ввижатися;"
поставати,"З'являтися в уяві; привиджуватися, пригадуватися"
уздріватися,"Здаватися, ввижатися"
різнити,Фальшивити в хорі або оркестрі
розвязний,"Який поводить себе надто вільно, фамільярно, зухвало"
фарбувати,"Покривати чи просочувати щось фарбою або речовиною, що містить фарбу"
намазувати,"Підмальовувати обличчя гримом, фарбою"
малювати,"Те саме, що [B]фарбува́ти[/B]"
профарбовувати,"Повністю покривати фарбою поверхню чого-небудь, просочувати щось фарбою наскрізь"
офарбовувати,Покривати фарбою
офарблювати,"Те саме, що [B]офарбо́вувати[/B]"
підмазувати,"Підфарбовувати обличчя гримом, фарбою і т. ін., звичайно невміло, погано"
кватира,Фаза (місяця)
квадра,Фаза (місяця)
фарбуватися,
підфарбовуватися,"Фарбувати собі губи, брови, щоки і т. ін. злегка або додатково"
підмальовуватися,"Те саме, що [B]підфарбо́вуватися[/B] 1, 2"
підмазуватися,"Підфарбовувати собі обличчя гримом, фарбою і т. ін"
пошиття,Певний стиль пошитого одягу чи взуття
кваліфікація,"Фах, професія, спеціальність"
професіонал,"Добрий фахівець, знавець своєї справи"
професіоналіст,Професіонал
майстер,Фахівець з якого-небудь ремесла
підлікар,Фельдшер
лікпом,Скорочення: лікарський помічник
любомудр,Любитель філософії
філозоф,"Філософ (у 1, 2 знач.)"
метафізик,"Філософ, який займається питаннями, що виходять за межі досліду; філософ узагалі"
синематека,Фільмотека
штука,"Спритний трюк, фокус, вправний рух"
статевий,Пов'язаний з відносинами статей
сексуальний,Пов'язаний із статевими зносинами
ілюзіоніст,"Актор цирку, який показує фокуси за допомогою різноманітних і складних приладів"
штукар,"Те саме, що [B]фігля́р[/B] 1"
фігляр,"Акробат, фокусник, штукар, блазень"
чуттєвий,Пов'язаний із задоволенням тілесного потягу
педантизм,"Надмірний формалізм, дріб'язковість у чому-небудь"
доктринерство,"Сліпе, педантичне дотримування яких-небудь застарілих положень, доктрин; схоластика"
талмудизм,"Некритичне та неухильне дотримування догм; схоластичні розумування, буквоїдство"
демагог,"Той, хто вдається до демагогії"
словоблуд,"Людина, якій властиве словоблудство"
риторика,"Зовнішньо красиве, але позбавлене змісту красномовство"
риторизм,"Те саме, що [B]рито́рика[/B] 2"
словоблудство,"Пусті беззмістовні розмови, балачки"
словоблуддя,"Те саме, що [B]словоблу́дство[/B]"
денді,"Вишукано, пишно і модно одягнена людина; франт"
модник,"Той, хто стежить за модою (у 1 знач.), намагається в усьому додержуватися її; франт"
стиляга,"Зневажлива назва людини з підвищеним інтересом до модного стилю одягу та манерами, смаками, які не відповідають загальноприйнятим нормам, без громадських інтересів"
піжон,"Те саме, що [B]дже́нджик[/B]"
стиляжний,"Власт. стилязі, як у стиляги"
фасонистий,"Якому притаманні показна вишуканість, шик, хизування, форс, франтуватість"
чепуристий,"Те саме, що [B]чепурни́й[/B]"
садовина,Плоди садових дерев
галли,Французи
хавтур, Хабар
хавтура,Хабар
бурдій,Благенька хата
провіант,Продукти харчування взагалі
похваляти,"Висловлювати схвалення, відзиватися з похвалою про кого-, що-небудь; хвалити"
козиряти,"Виставляти що-небудь як свою перевагу; хвалитися, чванитися чимось"
фанфарон,"Пихатий, гоноровитий, зарозумілий базіка; хвалько"
самохвал,"Той, хто сам себе вихваляє; хвалько"
самохвалець,"Те саме, що [B]самохва́л[/B]"
фанфаронство,"Поведінка фанфарона; хвастощі, похваляння"
фанфаронада,"Учинок, поведінка фанфарона; хвалькувато-зарозуміле висловлення: хвастощі"
хвилина,"Одиниця виміру часу, що дорівнює 1/60 години, або 60 секундам"
хвиля,Хвилина (у 1 знач.)
конфігурація,Обрис зовнішньої форми чого-небудь
потрясати,"Справляти сильне враження на кого-небудь, глибоко хвилювати, зворушувати"
мордувати,"Не давати спокою; хвилювати, тривожити"
мутити,"Те саме, що [B]каламу́тити[/B]"
палити,"Дуже хвилювати, непокоїти, мучити (про певні відчуття, переживання і т. ін.)"
пекти,"Завдавати кому-небудь глибоких моральних страждань; мучити, непокоїти"
лихоманити,Приводити в збуджений стан
труїти,"Хвилювати, бентежити"
потрясатися,"Сильно хвилюватися, глибоко зворушуватися чим-небудь"
хвилювати,"Те саме, що [B]хвилюва́тися[/B] 1"
розбурханий,"Який розбурхався, став бурхливим, неспокійним (про річку, море і т. ін.)"
брижуватий,Укритий брижами
угинатися,"Набувати зігнутого положення, хилитися, гнутися донизу, перев. під дією якої-небудь ваги, якогось тягаря"
вгинатися,"Набувати зігнутого положення, хилитися, гнутися донизу, перев. під дією якої-небудь ваги, якогось тягаря"
розхитаний,"Який неміцно тримається, хитається; нестійкий, хиткий"
качати,"Гойдає, колихає (під час плавання на морі тощо)"
еківоки,"Двозначні натяки, виверти"
хитринка,"Деяка хитрість, лукавство, що проявляється в зовнішності кого-небудь, у чиємусь характері"
лукавинка,Невеличке лукавство
парубійко,"Хлопець, який стає парубком (у 1 знач.)"
парубійка,"Те саме, що [B]парубі́йко[/B]"
парубчак,"Те саме, що [B]па́рубок[/B] 1"
парубя,"Те саме, що [B]парубі́йко[/B]"
доктринер,"Той, хто педантично захищає або дотримується застарілої, відірваної від життя доктрини; схоластик"
схоластик,"Те саме, що [B]схола́ст[/B]"
талмудист,"Той, хто сприймає будь-які теоретичні положення як догму без перевірки та доказів"
схоласт,"Людина, яка сприймає лише зовнішню, формальну сторону якої-небудь науки відірвано від життя й практики; той, хто схильний до марних і далеких від життя розмірковувань"
недомагати,Бути не зовсім здоровим
кволитися,"Почувати себе недужим, хворим; нездужати"
кволіти,"Те саме, що [B]незду́жати;[/B] хворіти, слабувати"
страждати,"Мати яку-небудь хворобу, недугу; хворіти"
гибіти,"Нездужати, хворіти"
приховувати,"Класти що-небудь у невідоме для інших місце, притримуючи до якогось часу; ховати, заховувати"
заховувати,"Класти що-небудь у не відоме, несподіване для інших місце; ховати"
драглі,Їжа із згуслого при охолодженні м'ясного чи рибного відвару з дрібними шматочками м'яса або риби
затаюватися,"Влаштовуватися де-небудь так, щоб інші не могли бачити, знайти; ховатися"
таїтися,"Ховатися де-небудь, намагаючись бути непомітним"
чаїтися,"Те саме, що [B]таї́тися[/B]"
ходжати,Ходити
студений,Дуже холодний
холодати,"Про зниження температури повітря, настання холодної погоди"
свіжіти,Холоднішати (про погоду)
студеніти,"Ставати холодним, холоднішим"
нахолоджуватися,"Робитися, ставати холодним"
парубок,Молодий чоловік
жадати,"Відчувати потребу в кому- або чому-небудь, прагнути до здійснення чогось, до оволодіння чимось; бажати, хотіти"
похіть,Грубо-хтивий статевий потяг
захуджений,"Худий, виснажений"
спадати,"Втрачати нормальну вагу; худнути, марніти"
скот,Четвероногі свійські сільськогосподарські тварини
скотина,"Те саме, що [B]скот[/B]"
худобина,"Те саме, що [B]худо́ба[/B] 1"
животина,Свійська або дика тварина
скотина,Одна тварина
животина,Свійська або дика тварина
шаль,"Велика в'язана чи ткана хустка (перев. шерстяна, рідше шовкова)"
храм,"Культова споруда призначена для громадського богослужіння, здійснення релігійних обрядів (християнські церкви, мечеті, синагоги тощо)"
храмина,"Храм (у 1, 3 знач.)"
сигарка,Цигарка
цибух,"Те саме, що [B]цига́рка[/B]"
песиголовець,"Казкова людиноподібна істота з одним оком у лобі, що поїдає людей; циклоп"
інтригувати,"Збуджувати цікавість загадковістю, неясністю, таємничістю; зацікавлювати"
повний,"В міру товстий, округло-пухлий"
поповнілий,"Який поповнів, поповнішав"
розповнілий,Дієпр. акт. мин. ч. до [B]розповні́ти[/B]
повнявий,Трохи повний (у 7 знач.)
дощенту,"Повністю все, все без залишку"
дотла,"Повністю, цілком; до останку"
дочиста,"Повністю все, нічого не залишаючи, не приховуючи"
чисто,"Зовсім, абсолютно"
начисто,"Зовсім, повністю; нічого не залишаючи"
цілющий,Який має лікувальні властивості
цоркотіти,Підсил. до [B]цо́ркати[/B]
вицокувати,"Безперервно цокати, стукати (про механізми)"
сахатися,"Відчуваючи страх, незручність і т. ін., уникати зустрічі, не спілкуватися з ким-небудь; жахатися; цуратися"
ворожити,"Уживати слова, застосовувати прийоми, чародійна сила яких нібито має вплинути па людину, природу і т. ін.; чарувати"
заворожувати,"Діяти, впливати на кого-, що-небудь чарами, чаклунством"
приворожувати,"Те саме, що [B]заворо́жувати[/B] 1"
тюрбан,"Чоловічий головний убір у деяких народів Азії і Африки, що складається із шматка легкої тканини, обмотаної навколо фески, тюбетейки і т. ін"
уконтентовувати,"Щедро пригощати, годувати, напувати"
вконтентовувати,"Щедро пригощати, годувати, напувати"
наджидати,"Перебувати десь якийсь час з метою побачити, зустріти кого-, що-небудь; піджидати"
піджидати,"Те саме, що [B]чека́ти[/B]"
зажидати,"Чекати, ждати якийсь час кого-, що-небудь"
чатувати,"Чекати на кого-, що-небудь"
чигати,"Перебуваючи у певному місці, очікувати появи кого-, чого-небудь"
льодистий,"Те саме, що [B]льодови́тий[/B]"
шуга,"Дрібний крихкий лід у вигляді кашоподібної маси, який іде перед льодоставом або під час весняного льодоходу"
сало,"Тонкий шар криги або невеликі крижинки на поверхні води перед льодоставом; шуга, шерешень"
чорняк,Чернетка
брульйон,Чорновий список
брат,Член духовної християнської спільноти
правдивий,"Який говорить правду; чесний, справедливий"
порядний,"Не здатний на погані, нечесні або аморальні вчинки; чесний"
чистий,"Який відзначається високими моральними якостями; правдивий, чесний"
гарбар,Кушнір
чинбарити,Займатися чинбарством
оббирати,"Знімати, зрізувати з чого-небудь верхній шар (шкаралупу, лушпиння і т. ін.); чистити, обчищати"
обирати,"Те саме, що [B]оббира́ти[/B] 1–3"
сікатися,"Настирливо, вимогливо або погрозливо звертатися до кого-небудь; приставати, чіплятися"
твердий,"Прямий, рівний, розбірливий (про почерк)"
шкрьобати,"Іти, ходити (перев. у розбитому, великому взутті), човгаючи"
керівник,"Той, хто керує ким-, чим-небудь, очолює когось, щось"
голова,"Керівник установи, об'єднання, товариства, організації або окремих їх відділів"
атрамент,Чорнило
каламар,Чорнильниця
чорнобильник,"Те саме, що [B]чорно#биль[BUX]1[/BUX][/B]"
біс,"уживається для вираження схвалення когось, чогось, захоплення ким-, чим-небудь"
демон,"Те саме, що [B]біс[BUX]1[/BUX][/B] 1"
гемон,"Те саме, що [B]де́мон[/B]"
диявол,Глава бісів
сатана,"Уявна надприродна істота, яку зображують у вигляді людини з козячими ногами, хвостом і ріжками; є уособленням злого начала; біс, диявол, чорт, злий дух"
луципер,"Те саме, що [B]біс[BUX]1[/BUX][/B]"
люципер,"Те саме, що [B]біс[BUX]1[/BUX][/B]"
люцифер,"Біс, чорт"
пекельник,"За релігійними уявленнями – злий дух, житель пекла, що має людську подобу, але з рогами, копитами й хвостом; чорт, біс, диявол"
лукавий,"Те саме, що нечи́стий 7"
нечистий,"За релігійними уявленнями – надприродна істота, що втілює в собі зло; біс, чорт, сатана"
лихий,Чорт
проклятий,"Те саме, що [B]нечи́стий[/B] 7"
підсаджувати,"Саджати до кого-, чого-небудь, поміщати поруч або в одному приміщенні з кимсь"
присаджувати,Змушувати когось сидіти де-небудь (перев. для виконання якоїсь роботи)
примощувати,"Садовити, класти кого-небудь десь"
сиротливий,"Який міститься, розташований відособлено, окремо від інших; самітний"
печерник,"Пустельник, що живе в печері; самітник"
напружений,Сповнений напруження (у 2 знач.). З
стародавній,"Який виник, який створили дуже давно і який зберігся до наших часів"
стародавній,"Який дуже давно минув, пройшов (про час)"
сани,Зимовий віз на полозах
санки,"Те саме, що [B]са́ни[/B]"
цюкати,Сапати (перев. не на повну силу)
шафір,Сапфір
лаятися,"Дорікати одне одному, лаяти одне одного; сваритися"
паплюжитися,"Брутально лаяти, порочити, ганьбити одне одного; лаятися"
зимний,"Неутеплений, без опалення"
світоч,Світило
святець,"Те саме, що [B]святи́й[/B] 2"
чудотворець,"те саме, що святий"
торжество,"Свято на відзначення якоїсь видатної події, ювілейної дати"
гуляння,Масове святкування
святощі,"Те саме, що [B]святи́ня[/B] 1, 2"
блюзнірство,"Зневажання чого-небудь святого, високого і т. ін"
перепалка,Запекла галаслива суперечка
пікіровка,Обмін ущипливими словами
поміщати,Надавати приміщення кому-небудь для проживання
розміщати,"Надавати, виділяти кожному приміщення, місце для проживання, ночівлі, відпочинку і т. ін.; розселяти"
розміщувати,"Надавати, виділяти кожному приміщення, місце для проживання, ночівлі, відпочинку і т. ін.; розселяти"
роздратований,Дієпр. пас. мин. ч. до [B]роздратува́ти[/B]
роздрочений,"Який розсердився, розлютувався"
гнівливий,Гнівний
злостивий,"Сердитий, роздратований"
селище,Населений пункт у сільській місцевості
вичікувати,"Ждати приходу, приїзду, появи кого-небудь"
просивий,"Сивуватий, з сивиною"
білий,"Посивілий, сивий, сивоволосий"
віддавати,"Давати, передавати, вручати комусь кого-, що-небудь"
передавати,"Віддавати, подавати, вручати кому-небудь те, що тримають у руках або беруть у руки"
подавати,"Давати, передавати що-небудь комусь, кудись"
совати,"Давати щось кому-небудь поспішно, недбало чи потай"
надавати,"Давати можливість мати щось, користуватися чимсь і т. ін"
здавати,"Віддавати у тимчасове користування, в оренду і т. ін"
дарити,"Дарувати (у 1, 2 знач.)"
презентувати,Передавати що-небудь у власність як подарунок
одарити,"Те саме, що [B]обдаря́ти[/B]"
наріз,"Ділянка землі, виділена кому-небудь для тимчасового або постійного користування"
нарізка,"Те саме, що [B]нарі́з[/B]"
грач,"Людина, що грає на якому-небудь музичному інструменті; музикант, музи#ка"
музика,"Те саме, що [B]музика́нт[/B]"
мислитель,"Людина, здатна до глибокого філософського мислення"
практичний,"Який має життєвий досвід, добре розуміється на якихось справах (про людину); діловитий"
ярий,Дуже сильний (про явища природи)
дужий,"Дуже великий, значний щодо сили, ступеня вияву і т. ін"
заушниці,Сережки
сив,"Те саме, що [B]си́вий[/B] 2"
шпакуватий,"З сивиною, сивуватий (про людину)"
безбатченко,"Той, хто не має батьків; сирота"
тривний,"Який добре втамовує голод; поживний, ситний"
кульбака,Сідло
пересіпуватися,"Здригатися, робити судорожний рух тілом, обличчям"
пересмикуватися,"Різко, судорожно здригатися (про тіло, обличчя і т. ін.)"
банальність,Давно відома неоригінальна думка
трюїзм,"Загальновідома, заяложена істина"
сальвія,"Те саме, що [B]шавлі́я[/B]"
благоговійний,"Сповнений найщирішої поваги, шани: безмежно відданий; побожний"
побожний,"Сповнений найщирішої шани, безмежно відданий; благоговійний, шанобливий"
почтивий,"Який виявляє повагу до кого-небудь; чемний, ввічливий"
шалик,"Шарфик, кашне"
шарфик,Зменш.-пестл. до [B]шарф[/B] 1
назрілий,"який наблизився, став неминучим"
наболілий,"Давно назрілий, який вимагає невідкладного розв'язання"
наряд,Зовнішнє покриття тварин або якихсь предметів
шулер,"Взагалі обманщик, шахрай"
вікно,Шибки
вуджениця,"Те саме, що [B]ши́нка[/B]"
істотний,Який становить суть або стосується суті чого-небудь
поголоска,"Чутка, вірогідність якої не встановлено"
поголос,"Те саме, що [B]поголо́ска[/B] 1, 2"
розголос,"Чутка, поговір"
поголосок,"Те саме, що [B]поголо́ска[/B]"
плітка,"Розмови, чутки"
сплітка,"Те саме, що [B]плі́тка[BUX]1[/BUX][/B]"
поговір,"Свідомо неправдива або викликана необізнаністю з фактами чутка, звістка про кого-, що-небудь; плітка"
поговірка,"Те саме, що [B]погові́р[/B]"
слава,"Чутка, звістка про кого-, що-небудь"
пославка,"Поголоска, поголос; недобра слава"
перегуди,"Те саме, що [B]пере#су́д;[/B] поговір"
осуда,Поговір
фамільний,Прикм. до [B]фамі́лія[/B] 2
рвонутися,"Розлетітися, розірватися на частини, осколки від вибуху; вибухнути"
відвоювати,"Боротьбою, працею, переконуванням і т. ін. домагтися чого-небудь"
здобути,"Наполегливо досягти чого-небудь у впертій боротьбі, навчанні, праці"
понятий,"Особа, яку залучають органи влади як свідка при обшукові, описові майна і т. ін"
свідок,"Особа, присутня при чому-небудь для офіційного підтвердження дійсності або правильності чогось"
закон,"Загальноприйняте, усталене правило співжиття, норма поведінки"
